City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Hilo,US,75.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Labuhan,ID,78.42,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
7,Atuona,PF,77.45,light rain,-9.8,-139.0333,Villa Enata
8,Castro,BR,87.15,clear sky,-24.7911,-50.0119,CHACARA BAILLY
16,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
20,Auki,SB,76.23,scattered clouds,-8.7676,160.7034,Auki Motel
31,La Asuncion,VE,76.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
41,Lorengau,PG,78.8,very heavy rain,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Kapaa,US,78.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Lata,PT,80.04,clear sky,40.1629,-8.3327,Casa Maquia
60,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
61,Sihora,IN,76.84,clear sky,23.4833,80.1167,Hotel Yash Raj Sihora
62,Korla,CN,77.5,scattered clouds,41.7597,86.1469,Gulisitan Hotel
71,Kavieng,PG,80.33,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
72,Jamestown,US,78.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
75,Najran,SA,86.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
76,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
78,Butte,US,80.35,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
82,Mogadishu,SO,77.72,few clouds,2.0371,45.3438,Hotel Juba
95,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
99,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
105,Georgetown,MY,78.89,light rain,5.4112,100.3354,Cititel Penang
109,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
110,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
114,Rajapalaiyam,IN,82.17,broken clouds,9.45,77.5667,Hotel Amil
116,Hamilton,US,77.77,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
122,Westerly,US,76.05,clear sky,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
130,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Sinnamary,GF,86.36,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,Hambantota,LK,80.62,moderate rain,6.1241,81.1185,Bungalow 63
139,Muroto,JP,76.86,few clouds,33.2833,134.15,Oota Ryokan
140,Bethel,US,75.88,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
143,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
144,Hithadhoo,MV,83.95,scattered clouds,-0.6,73.0833,Scoop Guest House
146,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
150,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
