City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Qaanaaq,GL,77.484,-69.3632,15.24,70,49,9.75,scattered clouds
1,Hilo,US,19.7297,-155.09,75.79,80,75,0.0,light rain
2,Dingle,PH,10.9995,122.6711,74.34,96,94,2.8,overcast clouds
3,Labuhan,ID,-6.8844,112.2051,78.42,80,49,6.87,scattered clouds
4,Hobart,AU,-42.8794,147.3294,44.46,74,40,3.0,scattered clouds
5,Sioux Lookout,CA,50.1001,-91.917,57.27,94,90,11.5,light intensity shower rain
6,Port-Cartier,CA,50.0334,-66.8654,55.74,66,19,7.49,few clouds
7,Atuona,PF,-9.8,-139.0333,77.45,76,65,21.21,light rain
8,Castro,BR,-24.7911,-50.0119,87.15,35,1,8.52,clear sky
9,Ushuaia,AR,-54.8,-68.3,46.02,65,90,5.75,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,73.94,77,9,17.43,clear sky
11,Vaini,TO,-21.2,-175.2,68.16,100,20,5.75,light rain
12,Olyka,UA,50.7186,25.8125,42.93,93,100,10.85,overcast clouds
13,Barrow,US,71.2906,-156.7887,30.22,80,90,21.85,snow
14,Tiksi,RU,71.6872,128.8694,31.35,70,100,5.17,overcast clouds
15,Portland,US,45.5234,-122.6762,61.84,94,90,1.99,mist
16,Avarua,CK,-21.2078,-159.775,75.25,88,75,4.61,broken clouds
17,Qasigiannguit,GL,68.8193,-51.1922,28.65,62,88,1.5,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,51.48,93,85,1.77,light rain
19,Pangnirtung,CA,66.1451,-65.7125,33.8,80,75,16.11,broken clouds
20,Auki,SB,-8.7676,160.7034,76.23,90,44,3.42,scattered clouds
21,Luang Prabang,LA,19.8856,102.1347,73.85,93,71,1.07,broken clouds
22,Adrar,MR,20.5022,-10.0711,101.34,14,4,13.67,clear sky
23,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,99,14.14,light rain
24,Thompson,CA,55.7435,-97.8558,48.36,93,90,6.91,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,75,11.5,broken clouds
26,Cape Town,ZA,-33.9258,18.4232,57.61,64,20,1.99,few clouds
27,Busselton,AU,-33.65,115.3333,52.05,70,0,11.34,clear sky
28,Ilulissat,GL,69.2167,-51.1,28.42,50,75,4.61,broken clouds
29,Fernie,CA,49.5,-115.0687,53.69,64,100,4.45,overcast clouds
30,Boysun,UZ,38.2061,67.1986,66.33,26,0,4.5,clear sky
31,La Asuncion,VE,11.0333,-63.8628,76.73,88,98,13.8,overcast clouds
32,Skegness,GB,53.1436,0.3363,66.88,97,93,4.52,overcast clouds
33,Hermanus,ZA,-34.4187,19.2345,55.9,60,4,6.58,clear sky
34,Kodiak,US,57.79,-152.4072,53.11,66,90,11.5,overcast clouds
35,Pisco,PE,-13.7,-76.2167,65.01,77,20,11.5,haze
36,San Buenaventura,MX,27.0833,-101.5333,92.32,22,1,5.75,clear sky
37,East London,ZA,-33.0153,27.9116,59.94,72,20,20.71,few clouds
38,Salym,RU,60.0625,71.4789,35.22,90,100,8.23,overcast clouds
39,Saldanha,ZA,-33.0117,17.9442,53.65,65,0,19.95,clear sky
40,Cherskiy,RU,68.75,161.3,23.34,82,16,6.69,few clouds
41,Lorengau,PG,-2.0226,147.2712,78.8,83,100,4.76,very heavy rain
42,Kapaa,US,22.0752,-159.319,78.12,79,75,4.0,light rain
43,Ancud,CL,-41.8697,-73.8203,51.33,64,5,5.97,clear sky
44,Upernavik,GL,72.7868,-56.1549,29.66,76,100,9.78,overcast clouds
45,Kholodnyy,RU,62.7167,147.95,29.75,79,100,5.86,overcast clouds
46,Rudnya,RU,54.947,31.0934,41.94,96,100,12.53,light rain
47,Lata,PT,40.1629,-8.3327,80.04,58,0,4.81,clear sky
48,Sisimiut,GL,66.9395,-53.6735,33.66,71,96,3.13,overcast clouds
49,Bolgar,RU,54.95,49.0667,48.11,58,100,17.11,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,57.49,72,0,31.07,clear sky
51,Bredasdorp,ZA,-34.5322,20.0403,55.27,66,1,6.91,clear sky
52,Gull Lake,CA,50.1001,-108.4847,50.36,40,44,10.51,scattered clouds
53,Lavrentiya,RU,65.5833,-171.0,30.88,65,7,6.2,clear sky
54,Yerbogachen,RU,61.2767,108.0108,48.61,84,100,10.78,overcast clouds
55,Ostrovnoy,RU,68.0531,39.5131,38.46,76,61,9.13,broken clouds
56,Mahebourg,MU,-20.4081,57.7,70.09,68,75,14.97,broken clouds
57,Bulungu,CD,-4.55,18.6,81.77,49,23,3.85,few clouds
58,Rybinsk,RU,58.0446,38.8426,42.15,63,100,13.96,overcast clouds
59,Mar Del Plata,AR,-38.0023,-57.5575,57.22,72,75,17.27,broken clouds
60,Victoria,HK,22.2855,114.1577,85.32,85,34,6.55,light rain
61,Sihora,IN,23.4833,80.1167,76.84,84,2,2.15,clear sky
62,Korla,CN,41.7597,86.1469,77.5,17,25,14.12,scattered clouds
63,Camacha,PT,33.0833,-16.3333,72.36,64,40,12.66,scattered clouds
64,Alyth,GB,56.6221,-3.2301,60.06,81,92,1.01,overcast clouds
65,Esperance,AU,-33.8667,121.9,44.44,86,3,12.68,clear sky
66,Hasaki,JP,35.7333,140.8333,66.6,69,3,9.89,clear sky
67,Inhambane,MZ,-23.865,35.3833,70.02,69,0,15.21,clear sky
68,Khatanga,RU,71.9667,102.5,32.09,99,100,2.19,light snow
69,Mecca,SA,21.4267,39.8261,92.17,33,79,4.9,broken clouds
70,Osinovo,RU,55.8809,48.881,42.89,57,100,7.76,overcast clouds
71,Kavieng,PG,-2.5744,150.7967,80.33,77,100,5.03,overcast clouds
72,Jamestown,US,42.097,-79.2353,78.19,64,1,8.05,clear sky
73,Olafsvik,IS,64.8945,-23.7142,46.09,79,91,13.87,overcast clouds
74,Savinka,RU,50.0785,47.0994,60.26,43,97,14.83,light rain
75,Najran,SA,17.4924,44.1277,86.65,15,80,3.49,broken clouds
76,Cockburn Town,TC,21.4612,-71.1419,87.76,66,40,11.5,scattered clouds
77,Nikolskoye,RU,59.7035,30.7861,44.49,65,100,9.69,light rain
78,Butte,US,39.6499,-121.5677,80.35,31,1,14.97,clear sky
79,Severo-Yeniseyskiy,RU,60.3725,93.0408,29.91,97,57,4.47,broken clouds
80,Airai,TL,-8.9266,125.4092,57.52,63,86,4.03,overcast clouds
81,Ketchikan,US,55.3422,-131.6461,52.27,93,90,16.11,heavy intensity rain
82,Mogadishu,SO,2.0371,45.3438,77.72,81,17,16.8,few clouds
83,Lebu,CL,-37.6167,-73.65,53.6,67,0,20.71,clear sky
84,Chuy,UY,-33.6971,-53.4616,68.41,86,94,7.94,overcast clouds
85,Port Macquarie,AU,-31.4333,152.9167,51.76,64,23,18.19,few clouds
86,Barvinkove,UA,48.9097,37.0205,52.52,63,45,5.48,scattered clouds
87,Riyadh,SA,24.6877,46.7219,91.54,16,0,9.19,clear sky
88,Port Alfred,ZA,-33.5906,26.891,58.12,59,25,34.63,scattered clouds
89,Narsaq,GL,60.9167,-46.05,44.82,59,18,1.92,few clouds
90,Vestmanna,FO,62.1564,-7.1664,50.92,87,90,24.16,overcast clouds
91,Punta Arenas,CL,-53.15,-70.9167,50.11,71,0,20.71,clear sky
92,Esna,EG,25.2934,32.554,95.02,12,84,3.42,broken clouds
93,Albany,US,42.6001,-73.9662,76.68,61,12,7.23,few clouds
94,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,81,40,28.77,scattered clouds
95,Saint-Georges,GD,12.0564,-61.7485,87.48,66,20,16.11,few clouds
96,Chokurdakh,RU,70.6333,147.9167,22.95,87,62,7.02,broken clouds
97,Tommot,RU,58.9564,126.2925,32.16,93,4,1.95,clear sky
98,Octeville,FR,49.6261,-1.6435,63.09,72,0,8.05,clear sky
99,Butaritari,KI,3.0707,172.7902,82.0,77,70,11.92,light rain
100,Torbay,CA,47.6666,-52.7314,53.28,78,75,27.63,broken clouds
101,Kristiinankaupunki,FI,62.2743,21.376,43.95,71,42,6.04,scattered clouds
102,Champerico,GT,14.3,-91.9167,94.35,74,99,7.38,overcast clouds
103,Kaitangata,NZ,-46.2817,169.8464,44.76,86,75,4.5,broken clouds
104,Jiaozuo,CN,35.2397,113.2331,69.08,65,0,5.61,light rain
105,Georgetown,MY,5.4112,100.3354,78.89,92,20,0.0,light rain
106,Norman Wells,CA,65.282,-126.8329,42.84,87,40,10.36,scattered clouds
107,Iqaluit,CA,63.7506,-68.5145,31.73,64,90,4.61,overcast clouds
108,Bemidji,US,47.4736,-94.8803,59.29,95,40,9.22,scattered clouds
109,San Cristobal,VE,7.7669,-72.225,78.98,51,72,4.94,broken clouds
110,Saint George,US,37.1041,-113.5841,75.67,26,1,1.01,clear sky
111,Margate,GB,51.3813,1.3862,62.89,84,44,9.51,scattered clouds
112,Mulege,MX,26.8833,-111.9833,91.99,46,0,9.42,clear sky
113,Dondo,MZ,-19.6094,34.7431,69.31,68,0,7.34,clear sky
114,Rajapalaiyam,IN,9.45,77.5667,82.17,71,69,4.76,broken clouds
115,Rio Gallegos,AR,-51.6226,-69.2181,53.65,54,75,17.27,broken clouds
116,Hamilton,US,39.1834,-84.5333,77.77,89,75,1.01,moderate rain
117,Manzini,SZ,-26.25,31.5,67.93,64,42,1.88,scattered clouds
118,Yar-Sale,RU,66.8333,70.8333,36.77,97,100,15.26,overcast clouds
119,Ribeira Grande,PT,38.5167,-28.7,73.8,64,40,14.97,scattered clouds
120,Taoudenni,ML,22.6783,-3.9836,107.01,7,0,8.75,clear sky
121,Cosio,MX,22.35,-102.3,73.71,53,58,5.06,broken clouds
122,Westerly,US,41.3776,-71.8273,76.05,59,1,8.05,clear sky
123,Richards Bay,ZA,-28.783,32.0377,68.27,87,34,14.61,light rain
124,Opatija,HR,45.3392,14.3083,67.69,71,18,7.27,few clouds
125,San Patricio,US,28.017,-97.5169,95.09,42,1,8.28,clear sky
126,Nemuro,JP,43.3236,145.575,57.72,87,44,8.84,scattered clouds
